"","NODCCODE","Commonname",">30","25-26","26-27","27-28","28-29","29-30","Troph","Polar","Boreal","Temperate","Subtropical"
"164","8835022201","Pygmy Sea Bass",9,NA,140.5,47,NA,443.5,NA,0,-1,-1,-2
"165","8835022309","Belted Sandfish",17,NA,412,71,4,278.5,NA,0,-1,-1,-2
"166","8835030204","Whitespotted Soapfish",NA,NA,NA,NA,NA,1,NA,0,-1,-1,-2
"167","8835160203","Shadow Bass",1,NA,NA,NA,NA,NA,NA,0,-1,-2,-3
"168","8835160402","Bluespotted Sunfish",11,NA,NA,2,NA,9,NA,0,-1,-2,-1
"169","8835160501","Redbreast Sunfish",NA,NA,NA,NA,NA,100.666666666667,3.23,0,-1,-4,-2
"170","8835160504","Bluegill",32,NA,632,303,14.5,107,3.39857142857143,0,-2,-8,-10
"171","8835160507","Dollar Sunfish",1,NA,NA,27,1,2,NA,0,-1,-1,-1
"172","8835160509","Redear Sunfish",36.75,NA,77,81.5,1,101.7,NA,0,-1,-5,-4
"173","8835160510","Spotted Sunfish",15.5,NA,1,8,19.9166666666667,327.833333333333,NA,0,-1,-2,-2
"174","8835160602","Largemouth Bass",19,NA,19,41,6,637.333333333333,3.80733333333333,0,-3,-9,-12
"175","8835160702","Black Crappie",NA,NA,1,3,NA,34.5,3.76666666666667,0,-3,-6,-4
"176","8835161001","Warmouth",NA,NA,6.5,2,NA,NA,NA,0,-1,-7,-4
"177","8835170101","Bigeye",NA,NA,NA,NA,NA,1,3.78666666666667,0,-1,-2,-4
"178","8835180201","Bronze Cardinalfish",NA,NA,NA,NA,1,6,NA,0,-1,-1,-2
"179","8835180503","Dusky Cardinalfish",NA,NA,NA,NA,NA,1,NA,0,-1,-1,-2
"180","8835200101","Swamp Darter",2,NA,3,15,1,5,NA,0,-1,-2,-1
"181","8835200319","Blackbanded Darter",NA,NA,NA,NA,NA,3,NA,0,-1,-2,-2
"182","8835250101","Bluefish",110.5,NA,141,190.5,6,1127.33333333333,4.45294117647059,0,-2,-9,-12
"183","8835260101","Cobia",NA,NA,49.5,35.5,2,32,4.28,0,-2,-6,-15
"184","8835270201","Sharksucker",NA,NA,2,14,NA,124,3.745,0,-2,-8,-16
"185","8835270202","Whitefin Sharksucker",11,5,33.5,55,3,368.5,NA,0,-1,-2,-2
"186","8835280303","Crevalle Jack",14,208,1915.33333333333,2541.16666666667,53.5,1725.5,3.70666666666667,0,-1,-5,-4
"187","8835280304","Horse-eye Jack",9,44,28,65,NA,148,3.845,0,-1,-2,-2
"188","8835280306","Blue Runner",50,8,76.5,120.333333333333,3,153,4.15,0,-1,-4,-5
"189","8835280308","Bar Jack",NA,1,NA,NA,NA,NA,4.26857142857143,0,-1,-2,-2
"190","8835280401","Atlantic Bumper",119,NA,1900.16666666667,1825.33333333333,32.5,10461.5,3.855,0,-1,-2,-3
"191","8835280501","Leatherjacket",57,31,4437.16666666667,6560.08333333333,151,3966.5,3.61333333333333,0,-2,-5,-2
"192","8835280701","Lookdown",15,30,512,837,22.5,919,4.29,0,-1,-3,-2
"193","8835280705","Atlantic Moonfish",NA,NA,NA,NA,NA,99.5,NA,0,-1,-5,-2
"194","8835280901","Florida Pompano",35,1,316,220.5,9,804.333333333333,3.5,0,-1,-2,-2
"195","8835280902","Permit",NA,12,1864.25,1421.58333333333,2,1769.16666666667,3.884,0,-1,-2,-2
"196","8835281202","Round Scad",1,NA,NA,29,NA,5,3.518,0,-2,-4,-5
"197","8835281401","Bluntnose Jack",NA,NA,14,33.5,NA,394,3.87,0,-1,-1,-2
"198","8835360102","Gray Snapper",480,1110.5,13523.7142857143,6795.36666666667,201.333333333333,1660.16666666667,4.02125,0,-1,-2,-2
"199","8835360103","Mutton Snapper",NA,NA,64.5,7,NA,2,3.932,0,-1,-2,-2
"200","8835360104","Schoolmaster",NA,2,2,1,NA,NA,3.80909090909091,0,-1,-2,-2
"201","8835360107","Red Snapper",NA,NA,NA,NA,NA,36,NA,0,-1,-2,-2
"202","8835360112","Lane Snapper",1100.16666666667,3,9248.83333333333,3389,233.5,4365,3.81571428571429,0,-1,-1,-2
"203","8835360401","Yellowtail Snapper",2,NA,83,62,3.5,1,3.8725,0,-1,-2,-2
